	official_title	brief_title	drug	phases	nct_id
774	A Prospective Observational Study of Newly Diagnosed Diffuse Large B Cell Primary Breast Lymphomas Treated With R-CHOP With or Without Radiotherapy	This Trial is a Prospective Observational Study of Newly Diagnosed Diffuse Large B Cell Primary Breast Lymphomas	 		NCT01279772
775	A Phase 2 Study of the Bruton's Tyrosine Kinase (Btk) Inhibitor, PCI-32765(Ibrutinib), in Relapsed and Refractory Patients With Chronic Lymphocytic Leukemia (CLL)/Small Lymphocytic Lymphoma (SLL) and B-cell Prolymphocytic Leukemia (B-PLL)	PCI-32765 (Ibrutinib) in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma, or B-cell Prolymphocytic Leukemia	ibrutinib	2	NCT01589302
776	Phase II Study of Ibrutinib in Combination With Rituximab-CHOP in Epstein-Barr Virus-positive Diffuse Large B-cell Lymphoma 54179060LYM2003 (Nick Name: IVORY Study)	Study of Ibrutinib in Combination With Rituximab-CHOP in Epstein-Barr Virus-positive Diffuse Large B-cell Lymphoma	Ibrutinib | Rituximab | Cyclophosphamide | Doxorubicin | vincristine | Prednisolone	2	NCT02670616
777	A Phase II Study of Bendamustine Plus Rituximab (BR) in Patients With Relapsed or Progressive Marginal Zone B-cell Lymphoma (MZBCL)	Bendamustine Plus Rituximab (BR) for Relapsed or Progressive Marginal Zone B-cell Lymphoma (MZBCL)	bendamustine plus rituximab	2	NCT02433795
778	None	Integrated Molecular and Clinical Profiling to Optimize Outcome Prediction in Splenic Marginal Zone Lymphoma	 		NCT02945319
779	An Open Label Ascending Dose Study Evaluating the Safety/Tolerability, Pharmacokinetic and Pharmacodynamic Effects of KA2237 In Patients With B Cell Lymphoma	The Safety, Pharmacokinetic and Pharmacodynamic Effect of KA2237 (PI3 Kinase p110β/δ Inhibitor) In B Cell Lymphoma	KA2237	1	NCT02679196
780	Pilot Study Of Multiple Umbilical Cord Blood Unit Transplantation Following Non-Myeloablative Conditioning In Patients With Hematologic Disorders Or Severe Aplastic Anemia	Combination Chemotherapy Followed By Umbilical Cord Blood Transplantation in Treating Patients With Hematologic Cancer or Severe Aplastic Anemia	cyclophosphamide | fludarabine phosphate | methylprednisolone	1	NCT00054236
781	A Phase I/II, Multi-Center, Open-Label, Repeat-Dose Study of Forodesine Hydrochloride Infusion in Patients With B-Cell Acute Lymphoblastic Leukemia With an Option of Extended Use of Forodesine Hydrochloride	Forodesine Hydrochloride (BCX-1777) for B-Cell Acute Lymphoblastic Leukemia	forodesine hydrochloride (BCX-1777)	1 2	NCT00289562
782	A Phase I/II Study of the PD-1 Antibody Nivolumab in Combination With Lenalidomide in Relapsed/Refractory Non-Hodgkin's Lymphoma (NHL) and Hodgkin's Disease (HD)	Nivolumab and Lenalidomide in Treating Patients With Relapsed or Refractory Non-Hodgkin or Hodgkin Lymphoma	Lenalidomide	1 2	NCT03015896
783	HLA Matched Related and Unrelated Bone Marrow Transplantation With Busulfan/Cyclophosphamide and Post Transplantation Cyclophosphamide for Hematological Malignancies	Combination Chemotherapy, Bone Marrow Transplant, and Post Transplant Cyclophosphamide for Hematologic Cancer	Busulfan | Cyclophosphamide	2	NCT00134017
784	A Phase 1 Multiple Ascending Dose Study of DS-3201b in Japanese Subjects With Lymphomas	A Phase 1 Multiple Ascending Dose Study of DS-3201b in Japanese Subjects With Lymphomas	DS-3201b	1	NCT02732275
785	A PHASE 1/2 STUDY OF RO4929097, AN ORAL SMALL MOLECULE INHIBITOR OF GAMMA-SECRETASE, IN CHILDREN WITH RELAPSED/REFRACTORY SOLID OR CNS TUMORS, LYMPHOMA, OR T-CELL LEUKEMIA	Gamma-Secretase Inhibitor RO4929097 in Treating Young Patients With Relapsed or Refractory Solid Tumors, CNS Tumors, Lymphoma, or T-Cell Leukemia	gamma-secretase/Notch signalling pathway inhibitor RO4929097 | dexamethasone	1	NCT01088763
786	A Phase Ib Multi-Cohort Trial of MK-3475 (Pembrolizumab) in Subjects With Hematologic Malignancies	A Trial of Pembrolizumab (MK-3475) in Participants With Blood Cancers (MK-3475-013/KEYNOTE-013)	Lenalidomide	1	NCT01953692
787	20150288 A Phase 2 Open-label Study Investigating the Safety and Efficacy of Blinatumomab After Frontline R-Chemotherapy in Adult Subjects With Newly Diagnosed High-risk Diffuse Large B-Cell Lymphoma (DLBCL)	Safety and Efficacy of Blinatumomab in Subjects With Newly Diagnosed High-risk Diffuse Large B-Cell Lymphoma	Blinatumomab | Investigator's Choice Chemotherapy	2	NCT03023878
788	Combined Chemotherapy and PD-1 Antibody(SHR-1210) With or Without Low-dose Decitabine Priming for Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL):An Open Label, Two-arms, Phase I/II Trail	Combination of Chemotherapy, SHR-1210 and/or Decitabine for Relapsed/Refractory PMBCLs	Decitabine | GVD chemotherapy | SHR-1210	1 2	NCT03346642
789	A Phase I/II Study Evaluating Escalating Doses of 90Y-BC8-DOTA (Anti-CD45) Antibody Followed by BEAM Chemotherapy and Autologous Stem Cell Transplantation for High-Risk Lymphoid Malignancies	Radiolabeled Monoclonal Antibody and Combination Chemotherapy Before Stem Cell Transplant in Treating Patients With High-Risk Lymphoid Malignancies	Carmustine | Cytarabine | Etoposide | Melphalan	1 2	NCT01921387
790	A Phase I/II Study of Sirolimus in Addition to Tacrolimus and Methotrexate for the Prevention of Acute-Graft-Versus-Host Disease in Patients Undergoing Hematopoietic Stem Cell Transplantation From Unrelated Donors	Sirolimus, Tacrolimus, and Methotrexate in Preventing Acute Graft-Versus-Host Disease in Patients With Hematologic Cancer Who Are Undergoing Donor Stem Cell Transplantation	methotrexate | sirolimus | tacrolimus	1 2	NCT00089037
791	Phase II Study of Novantrone(R) (Mitoxantrone) and Etoposide in Patients With HIV Associated Large Cell and Immunoblastic Lymphomas	Phase II Study of Novantrone(R) (Mitoxantrone) and Etoposide in Patients With HIV Associated Large Cell and Immunoblastic Lymphomas	Mitoxantrone hydrochloride | Etoposide	2	NCT00002003
792	Longitudinal Assessment of Ovarian Reserve in Adolescents With Lymphoma	Blood Sample Markers of Reproductive Hormones in Assessing Ovarian Reserve in Younger Patients With Newly Diagnosed Lymphomas	 		NCT01793233
793	Hepatitis B Virus Reactivation in Patients With Marginal Zone B-cell Lymphoma After Rituximab Containing Treatment: Consortium for Improving Survival of Lymphoma (CISL) Marginal Zone Lymphoma Cohort Study (MARCO)	Marginal Zone Lymphoma Cohort in Korea	 		NCT02732236
794	A Phase II Study of Sunitinib (SU11248; NSC 736511; IND 74019), an Oral Multi-Targeted Tyrosine Kinase Inhibitor, in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	Sunitinib in Treating Patients With Relapsed or Refractory Diffuse or Mediastinal Large B-Cell Lymphoma	sunitinib malate	2	NCT00392496
795	PHASE II STUDY OF MINI-CHOP PLUS OFATUMUMAB (O) IN NON PREVIOUSLY TREATED PATIENTS AGED OVER 80 YEARS WITH CD 20+ DIFFUSE LARGE B-CELL LYMPHOMA	Study of Mini-Chop Plus Ofatumumab To Treat Cd 20+ Diffuse Large B-Cell Lymphoma In Patients Aged Over 80 Years	Ofatumumab	2	NCT01195714
796	Phase II Trial of CHOP-Rituximab Augmented With Granulocyte-Macrophage Colony Stimulating Factor (GM-CSF) in Patients With Previously Untreated Diffuse Large B Cell Non-Hodgkin's Lymphoma	CHOP-Rituximab Augmented With GM-CSF in Patients With Previously Untreated Diffuse Large B Cell Non-Hodgkin's Lymphoma	GM-CSF | CHOP | Rituximab	2	NCT00455897
797	A Randomized Study to Evaluate The Efficacy of Mycophenolate Mofetil Added to The Systemic Immunosuppressive Regimen First Used For Treatment of Chronic Graft-Versus-Host Disease	Mycophenolate Mofetil (MMF) for Treatment of Chronic Graft-versus-host Disease (GVHD)	mycophenolate mofetil | placebo	3	NCT00089141
798	Study of the Role of Occupational Exposure to Pesticides in the Prognosis of Lymphomas Diffuse Large B Cell in	Occupational Exposure to Pesticides in the Prognosis of Lymphomas	 		NCT02898870
799	Phase I Dose Escalation Study of Radiotherapy and Durvalumab in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL): The RaDD Study	A Trial of Radiotherapy and Durvalumab in DLBCL	Durvalumab	1	NCT03610061
800	Phase II Study Of Dose-Adjusted Epoch-Rituximab (EPOCH-R) Chemotherapy For Patients With Previously Untreated Aggressive CD20+ B-Cell Non-Hodgkin's Lymphoma (NHL)	Combination Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With Non-Hodgkin's Lymphoma	cyclophosphamide | doxorubicin hydrochloride | etoposide | prednisone | vincristine sulfate	2	NCT00032019
801	Use of [F-18] FLT for Imaging With Positron Emission Tomography (PET)	3'-Deoxy-3'-[18F] Fluorothymidine PET Imaging in Patients With Cancer	 	2	NCT00935090
802	A Safety and Efficacy Study of Autologous T Cells Engineered to Express Chimeric Antigen Receptor Targeting CD19 in Patients With Relapsed or Refractory B-cell Lymphoma	Autologous CD19 CAR T Cells in Relapsed or Refractory B-cell Lymphoma	 	1	NCT02842138
803	Intergroup Trial for Children or Adolescents With B-Cell NHL or B-AL: Evaluation of Rituximab Efficacy and Safety in High Risk Patients - Phase II Trial of DA-EPOCH-Rituximab in PMLBL	Intergroup Trial for Children or Adolescents With Primary Mediastinal Large B-Cell Lymphoma: DA-EPOCH-Rituximab Evaluation	Etoposide, Doxorubicin, Vincristine, Cyclophosphamide, Rituximab	2	NCT01516567
804	A Multicenter,Randomized, Controlled (Comparative), Open, Prospective Study Evaluating an Efficacy of R-DA-EPOCH and R-CEOP90, With or Without Upfront Auto-HSCT，in Newly Diagnosed Young Patients With Intermediate/High-risk DLBCL	R-DA-EDOCH Versus R-CEOP90, w/o Upfront Auto-HSCT in Young Patients With Intermediate/High-risk DLBCL	R-DA-EPOCH | R-DA-EPOCH + auto-HSCT | R-CEOP90 | R-CEOP90 + auto-HSCT	3	NCT03213977
805	A Clinical Trial Evaluating I131-Tositumomab (Anti-CD20) With Escalating Doses of Fludarabine Followed by Autologous or Syngeneic Stem Cell Transplantation for Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma in Patients 60 Years of Age and Older	Iodine I 131 Tositumomab and Fludarabine Phosphate in Treating Older Patients Who Are Undergoing an Autologous or Syngeneic Stem Cell Transplant for Relapsed or Refractory Non-Hodgkin's Lymphoma	fludarabine phosphate	1	NCT00110071
806	A Phase II Study of Rituximab Intense Dosing With CHOP-21 (RID-CHOP) in Patients With Previously Untreated High or High-Intermediate Risk IPI (3-5) Diffuse Large B-Cell Lymphoma (DLBCL)	Rituximab and Combination Chemotherapy in Treating Patients With Previously Untreated High- or High-Intermediate-Risk Diffuse Large B-Cell Lymphoma	cyclophosphamide | doxorubicin hydrochloride | vincristine sulfate | prednisone	2	NCT01539174
807	An Open-label, Single-arm, Phase 2 Study Of Inotuzumab Ozogamicin Plus Rituximab In Subjects With Relapsed/Refractory Cd22-positive Diffuse Large B-cell Lymphoma, Eligible For Autologous Stem Cell Transplantation	Study Evaluating Inotuzumab Ozogamicin (CMC-544) Plus Rituximab In Diffuse Large B-Cell Non-Hodgkin's Lymphoma	inotuzumab ozogamicin (CMC-544) | rituximab	2	NCT00867087
808	Phase I Study of Infusion of Umbilical Cord Blood (UCB) Derived CD25+CD4+ T-Regulatory (Treg) Cells After Nonmyeloablative Cord Blood Transplantation	T-Regulatory Cell Infusion Post Umbilical Cord Blood Transplant in Patients With Advanced Hematologic Cancer	Allopurinol | fludarabine phosphate | Cyclophosphamide | Sirolimus	1	NCT00602693
809	Open, Non-Interventional, Multicenter Trial of MabThera in Combination With CHOP (or CHOP-like) Chemotherapy in Patients With Aggressive B-Cell Lymphoma	MabThera (Rituximab) in Combination With CHOP (or CHOP-like) Chemotherapy in Patients With Aggressive B-Cell Lymphoma	Cyclophosphamide | Hydroxydaunorubicin | Oncovin | Prednisone | Rituximab		NCT02486952
810	Oral Empirical Therapy of Fever in Low-Risk Neutropenic Cancer Patients: A Prospective, Double-Blind, Randomized, Multicenter Trial Comparing Monotherapy (Single Daily Dose Moxifloxacin) With Combination Therapy (Ciprofloxacin Plus Amoxicillin/Clavulanic Acid)	Moxifloxacin Compared With Ciprofloxacin/Amoxicillin in Treating Fever and Neutropenia in Patients With Cancer	amoxicillin-clavulanate potassium | ciprofloxacin | moxifloxacin hydrochloride		NCT00062231
811	Phase 2 Trial of Lenalidomide (Revlimid)-Dexamethasone + Rituximab in Recurrent Small B-Cell Non-Hodgkin Lymphomas (NHL) Resistant to Rituximab	Combination Therapy Using Lenalidomide (Revlimid)- Low Dose Dexamethasone and Rituximab for Treatment of Rituximab-Resistant, Non-Aggressive B-Cell Lymphomas	lenalidomide-low dose dexamethasone plus rituximab | Lenalidomide + Rituximab	2	NCT00783367
812	Multicenter Randomized Phase II Study of Treatment With R-CHOP vs Bortezomib-R-CAP for Young Patients With Diffuse Large B-cell Lymphoma With Poor IPI.	Efficacy/Safety Study of R-CHOP vs Bortezomib-R-CAP for Young Patients With Diffuse Large B-cell Lymphoma With Poor IPI.	Bortezomib | Rituximab | Cyclophosphamide | Doxorubicin | Prednisone | Vincristine	2	NCT01848132
813	An Open-Label, Multi-Center, Two-Part, Phase 1 Study to Characterize the Pharmacokinetics of an Intravenous Micro-Dose of [14C]-Tazemetostat (EPZ 6438) and the Absorption, Distribution, Metabolism and Elimination of an Oral [14C]-Labeled Dose of Tazemetostat in Subjects With B-Cell Lymphomas or Advanced Solid Tumors	Open-Label, Multi-Center, Two-Part, Ph1 Study to Characterize the PKs of an Intravenous Micro-Dose of [14C]-Tazemetostat (EPZ 6438) and the ADME of an Oral [14C]-Labeled Dose of Tazemetostat in Subjects With B-Cell Lymphomas or Adv Solid Tumors	Tazemetostat and [14C] Tazemetostat	1	NCT03010982
814	Natural History Study of Monoclonal B Cell Lymphocytosis (MBL), Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma(CLL/SLL), Lmphoplasmacytic Lymphoma(LPL)/Waldenstrom Macroglobulinemia (WM), and Splenic Marginal Zone Lymphoma(SMZL)	Natural History Study of Monoclonal B Cell Lymphocytosis (MBL), Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL), Lymphoplasmacytic Lymphoma (LPL)/Waldenstrom Macroglobulinemia (WM), and Splenic Marginal Zone Lymphoma (SMZL)	 		NCT00923507
815	A Phase 2 Study of Tazemetostat in Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma With EZH2 Gene Mutation	Study of Tazemetostat in Participants With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma With EZH2 Gene Mutation	Tazemetostat	2	NCT03456726
816	Phase I Trial of Carfilzomib (PR-171) in Combination With Vorinostat (SAHA) in Patients With Relapsed/Refractory B-Cell Lymphomas	Study of Carfilzomib and Vorinostat for Relapsed or Refractory Lymphoma	Drug: Carfilzomib | Vorinostat	1	NCT01276717
817	A Phase I/II Study of Fludarabine, Cyclophosphamide, Rituximab, and Vorinostat Followed by Rituximab and Vorinostat Maintenance Therapy in Patients With Previously Untreated B-Cell Chronic Lymphocytic Leukemia (CLL) or Small Lymphocytic Lymphoma (SLL)	Vorinostat, Fludarabine Phosphate, Cyclophosphamide, and Rituximab in Treating Patients With Previously Untreated Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma	Fludarabine Phosphate | Cyclophosphamide | Vorinostat	1 2	NCT00918723
818	Pilot Study of RCVELP as First Line Therapy for Follicular Lymphoma (FL) and Marginal Zone Lymphoma (MZL)	Rituximab, Cyclophosphamide, Bortezomib, and Prednisone in Patients With Stage III/IV FL or MZL	Rituximab | Bortezomib | Cyclophosphamide | Prednisone	1 2	NCT00772668
819	None	Study to Evaluate the Efficacy and Safety of Subsequent Treatment With the Zevalin (Ibritumomab Tiuxetan) in Elderly (More Than 60 Years) Patients With Diffuse Large B Cell Lymphoma After 4 Cycles of CHOP21-Rituximab (CHOP21-R) Therapy	CHOP21-R | Zevalin	2	NCT00850512
820	CHP 959 - A Phase I/IIA Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRzeta and 4-1BB Signaling Domains in Patients With Chemotherapy Resistant Or Refractory CD19+ Leukemia and Lymphoma	Phase I/IIA Study of CART19 Cells for Patients With Chemotherapy Resistant or Refractory CD19+ Leukemia and Lymphoma	 	1	NCT01626495
821	Randomized, Double-Blind Phase III Clinical Trial Comparing Outcomes of Immunologic Autograft Engineering Versus Standard Autograft Collection in Patients Undergoing Autologous Stem Cell Transplantation for Lymphoma	Two Different Methods of Collecting Stem Cells For an Autologous Stem Cell Transplant in Treating Patients With Diffuse Large Cell Lymphoma	 	3	NCT00566228
822	Safety and Feasibility of Stem Cell Gene Transfer Following R-EPOCH for Non-Hodgkin Lymphoma in AIDS Patients Using Peripheral Blood Stem/Progenitor Cells Treated With a Lentivirus Vector-Encoding Multiple Anti-HIV RNAs	Gene Therapy and Combination Chemotherapy in Treating Patients With AIDS-Related Non-Hodgkin Lymphoma	Prednisone | Etoposide | Doxorubicin Hydrochloride | Vincristine Sulfate | Cyclophosphamide	1	NCT02337985
823	A Randomized, Double-blind, Placebo-controlled Phase 3 Study of the Bruton's Tyrosine Kinase (BTK) Inhibitor, PCI-32765 (Ibrutinib), in Combination With Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (R-CHOP) in Subjects With Newly Diagnosed Non-Germinal Center B-Cell Subtype of Diffuse Large B-Cell Lymphoma	A Study of the Bruton's Tyrosine Kinase Inhibitor, PCI-32765 (Ibrutinib), in Combination With Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone in Patients With Newly Diagnosed Non-Germinal Center B-Cell Subtype of Diffuse Large B-Cell Lymphoma	Ibrutinib | Placebo | Rituximab | Cyclophosphamide | Doxorubicin | Vincristine | Prednisone (or equivalent)	3	NCT01855750
824	Treatment of Elderly Patients With Diffuse Large B-cell Lymphoma	Treatment of Elderly Patients With Diffuse Large B-cell Lymphoma	(R)-CHOP regimen | (R)-CVP regimen	4	NCT03513601
825	Phase I/II Open-label, Multiple-dose, Dose-escalation Study to Evaluate the Safety and Tolerability of IMO-8400 in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma and Presence of the MyD88 L265P Mutation	Dose Escalation Study in Patients With Relapsed or Refractory DLBCL and MyD88 L265P Mutation	IMO-8400	1 2	NCT02252146
826	Transplantation of Umbilical Cord Blood From Related and Unrelated Donors	Donor Umbilical Cord Blood Transplant in Treating Patients With Hematologic Cancer	anti-thymocyte globulin | busulfan | cyclophosphamide | cyclosporine | filgrastim | melphalan | methylprednisolone | mycophenolate mofetil	1 2	NCT00290628
827	A Phase II Trial of Bendamustine in Combination With Rituximab in Older Patients With Previously Untreated Diffuse Large B-cell Lymphoma	Bendamustine + Rituximab in Older Patients With Previously Untreated Diffuse Large B-cell Lymphoma	Bendamustine | Rituximab	2	NCT01234467
828	Non-Myeloablative Allogeneic Peripheral Blood Stem Cell Transplantation for Hematologic Malignancies and Aplastic Anemia	Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer or Aplastic Anemia	cyclophosphamide | fludarabine phosphate | methylprednisolone | mycophenolate mofetil | tacrolimus	2	NCT00053989
829	Phase I Open Label, Multi-center Study to Characterize the Safety, Tolerability and Pharmacokinetics of Intravenously Administered MIK665, a Mcl-1 Inhibitor, in Patients With Refractory or Relapsed Lymphoma or Multiple Myeloma	Phase I Study of MIK665, a Mcl-1 Inhibitor, in Patients With Refractory or Relapsed Lymphoma or Multiple Myeloma	MIK665	1	NCT02992483
830	Phase 2 Study of an Immunotherapeutic Vaccine, DPX-Survivac With Low Dose Cyclophosphamide in Patients With Recurrent Survivin-Expressing Diffuse Large B-Cell Lymphoma (DLBCL)	A Study of DPX-Survivac Vaccine Therapy in Patients With Recurrent Survivin-expressing DLBCL	Cyclophosphamide	2	NCT02323230
831	Phase I/II Study of Pembrolizumab in Patients Failing to Respond to or Relapsing After Anti-CD19 Chimeric Antigen Receptor Modified T Cell Therapy for Relapsed or Refractory CD19+ Lymphomas	Phase I/II Study of Pembrolizumab in Patients Failing to Respond to or Relapsing After Anti-CD19 Chimeric Antigen Receptor Modified T Cell Therapy for Relapsed or Refractory CD19+ Lymphomas	Pembrolizumab	1 2	NCT02650999
832	Observational Retrospective Multicenter Study for the Citofluorimetric Analysis of Cerebrospinal Fluid Vs Conventional Method in Patients With Aggressive Non-Hodgkin's Lymphoma Without Leptomeningeal Disease	Observational Study for the Cytofluorimetric Analysis of Cerebrospinal Fluid in Non-Hodgkin's Lymphoma Patients	 		NCT00949741
833	Evaluation of the Reactogenicity and Immunogenicity of Different Doses of Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma: A Phase II, Double-Blind Pilot Study	Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma	 	2	NCT00307177
834	A Phase Ib/II Study Evaluating the Safety and Efficacy of Obinutuzumab in Combination With Polatuzumab Vedotin and Venetoclax in Patients With Relapsed or Refractory Follicular Lymphoma and Rituximab in Combination With Polatuzumab Vedotin and Venetoclax in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma	A Study of Obinutuzumab, Rituximab, Polatuzumab Vedotin, and Venetoclax in Relapsed or Refractory Follicular Lymphoma (FL) or Diffuse Large B-Cell Lymphoma (DLBCL)	Obinutuzumab | Rituximab | Polatuzumab Vedotin | Venetoclax	1	NCT02611323
835	A Phase II Study of SGN-35 (Brentuximab Vedotin) of Patients With Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (PMLBCL)	A Study of SGN-35 (Brentuximab Vedotin) of Patients With Relapsed or Refractory PMLBCL	Brentuximab Vedotin	2	NCT02423291
836	An Open Label, Multicenter Phase II Study of Intravenous SAR3419, an Anti-CD19 Antibody-Maytansine Conjugate, in Combination With Rituximab in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphomas	Combination of SAR3419 and Rituximab in Relapsed/Refractory Diffuse Large B-Cell Lymphoma	SAR3419 | rituximab	2	NCT01470456
837	A Phase II Study of Repeat Intranodal Injections of Adenovirus-CD154 (Ad-ISF35) in Patients With Non-Hodgkin's Lymphoma (Follicular, Diffuse Large Cell, Mantle Cell and Small Lymphocytic Lymphoma/Chronic Lymphocytic Leukemia)	Study of Repeat Intranodal Injections of Ad-ISF35	 	2	NCT00942409
838	A Phase I Study of the Combination of Lenalidomide With the Histone Deacetylase Inhibitor, Vorinostat in Hodgkin and Non Hodgkin's Lymphoma	Vorinostat and Lenalidomide in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma	lenalidomide | vorinostat	1	NCT01116154
839	Phase I/II Trial of Decitabine + R-CHOP in Diffuse Large B-Cell Lymphoma	Decitabine Plus R-CHOP in Diffuse Large B-cell Lymphoma	Rituximab | Cyclophosphamide | Doxorubicin | Vincristine | Prednisone | Decitabine	1 2	NCT02951728
840	Adoptive Immunotherapy of Epstein Barr Virus Induced Lymhoproliferative Disease. A Comparison of Allogeneic and Autologous Lymphocyte Responses ex Vivo and Use of Highly Selected Reactive Cells as an Alternative to Chemotherapy in Vivo.	Peripheral Blood Lymphocyte Therapy to Prevent Lymphoproliferative Disorders Caused by Epstein-Barr Virus in Patients Who Have Undergone Transplantation	 	2	NCT00005606
841	A Phase II Study of MLN8237 Alone and in Combination With Rituximab in Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphomas	Alisertib With and Without Rituximab in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma	alisertib	2	NCT01812005
842	An Open-label Phase I Drug-drug Interaction Study of Ofatumumab With Bendamustine for the Treatment of Subjects With Indolent B-cell Non-Hodgkin's Lymphoma	Drug-drug Interaction Study of Ofatumumab With Bendamustine in Subjects With Indolent B-cell Non-Hodgkin's Lymphoma	ofatumumab | bendamustine	1	NCT01691807
843	Small Noncleaved Cell (SNCC), Non-Hodgkin Lymphoma (NHL), Large Cell NHL (B-Cell) and B-Cell Acute Lymphoblastic Leukemia (B-ALL) Study II	Treatment of Burkitt Lymphoma/Leukemia and B Large Cell NHL	Prednison, Vincristine, Cytarabine, Methotrexate, Etoposide, Cyclophosphamide, Doxorubicin	2	NCT00187161
844	A PHASE I/II STUDY OF INTRATUMORAL INJECTION OF IPILIMUMAB IN COMBINATION WITH LOCAL RADIATION IN MELANOMA, NON-HODGKIN LYMPHOMA AND COLORECTAL CARCINOMA	Ipilimumab and Local Radiation Therapy in Treating Patients With Recurrent Melanoma, Non-Hodgkin Lymphoma, Colon, or Rectal Cancer	 	1 2	NCT01769222
845	The Treatment of Hematologic Malignancies With Single or Double Umbilical Cord Blood Unit Transplantation Followed by Graft-versus-Host Prophylaxis With Tacrolimus and Mycophenolate Mofetil	Treatment of Single or Double Umbilical Cord Trans + Graft-versus-host Disease (GVHD) Prophylaxis w/ Tacrolimus & Mycophenolate Mofetil	cyclophosphamide | fludarabine phosphate | methylprednisolone	1 2	NCT00608517
846	A Multidose Phase I Study of Oral CC5013, a Thalidomide Derivative, in Patients With Refractory Metastatic Cancer	CC-5013 in Treating Patients With Cancer That Has Not Responded to Previous Therapy	lenalidomide	1	NCT00031941
847	Prospective Study of ACVBP Followed by Autologous Stem Cell Transplantation in Case of BCL-2 Overexpression in Non Previously Treated Patients Aged 60 Years or Less With Low-Intermediate Risk Diffuse Large B-Cell Lymphoma	ACVBP Followed by ASCT in Patients With BCL-2 Positive Diffuse Large B-Cell Lymphoma	doxorubicin | cyclophosphamide	2 3	NCT00169130
848	Phase I Study of AR-42 in Relapsed Myeloma, Chronic Lymphocytic Leukemia, and Lymphoma	AR-42 in Treating Patients With Advanced or Relapsed Multiple Myeloma, Chronic Lymphocytic Leukemia, or Lymphoma	AR-42	1	NCT01129193
849	Idelalisib (GS-1101)-Associated Colitis - Molecular and Cellular Mechanisms Research Proposal	Mechanisms of Idelalisib-Associated Diarrhea in Patients With Relapsed Chronic Lymphocytic Leukemia, Indolent Non-hodgkin Lymphoma, or Small Lymphocytic Lymphoma	Idelalisib	1	NCT02928510
850	A Prospective, Single-arm, Open-label, Phase 2 Study to Evaluate Efficacy and Safety of R-GemOx Regimen as First-line Treatment in Elderly Patients With Diffuse Large B-cell Lymphoma (DLBCL).	Trial of R-GemOx Regimen in Previously Untreated Elderly Patients With DLBCL.	R-GemOx	2	NCT01670370
851	Targeted Intensification by a New Preparative Regimen for Patients With Low-Grade B-Cell Lymphoma Utilizing Standard-Dose Yttrium-90 Ibritumomab Tiuxetan (Zevalin) Radioimmunotherapy (RIT) Combined With High-Dose Beam Followed by Autologous Stem Cell Transplantation (ASCT)	Yttrium-90 Ibritumomab Tiuxetan (Zevalin) With BEAM in Relapsed Low Grade B-Cell Lymphoma	Zevalin plus BEAM	2	NCT00138086
852	Allogeneic Hematopoietic Stem Cell Transplantation for Induction of Mixed Hematopoietic Chimerism in Patients Infected With Human Immunodeficiency Virus-1 Using a Non-Marrow Ablative Conditioning Regimen Containing Total Body Irradiation in Combination With Post-Transplant Immunosuppression With Cyclosporine and Mycophenolate Mofetil	Fludarabine and Total-Body Irradiation Followed By Donor Stem Cell Transplant and Cyclosporine and Mycophenolate Mofetil in Treating HIV-Positive Patients With or Without Cancer	fludarabine phosphate | cyclosporine | mycophenolate mofetil	2	NCT00112593
853	Use of Evidence-Based Supportive Care Clinical Practice Guidelines in Pediatric Oncology	Identifying, Understanding, and Overcoming Barriers to the Use of Clinical Practice Guidelines in Pediatric Oncology	 		NCT02847130
